# textflood 3840x2400 step=25 epoch_ms=1785580824692.086 mono_ms=1615431319.360
frame	loop_start_ms	render_ms	blit_ms	sync_ms
598	1615440714.045	12.497	0.002	1.984
599	1615440728.536	14.950	0.001	3.115
600	1615440746.606	12.646	0.001	2.420
601	1615440761.680	14.438	0.001	2.382
602	1615440778.508	13.434	0.001	2.301
603	1615440794.252	13.529	0.002	2.323
604	1615440810.113	13.651	0.002	2.178
605	1615440825.952	12.627	0.001	2.115
606	1615440840.701	14.333	0.003	2.298
607	1615440857.343	13.109	0.002	2.273
608	1615440872.736	12.867	0.004	2.228
609	1615440888.618	11.472	0.000	2.246
610	1615440902.343	11.694	0.000	2.366
611	1615440916.410	12.189	0.001	2.317
612	1615440930.922	11.733	0.001	2.646
613	1615440945.308	11.305	0.000	2.562
614	1615440959.180	11.699	0.000	2.574
615	1615440973.461	12.794	0.001	5.609
616	1615440991.875	14.794	0.001	2.960
617	1615441009.638	12.709	0.001	2.864
618	1615441025.218	12.466	0.001	2.883
619	1615441040.574	12.510	0.000	2.830
620	1615441055.921	12.606	0.001	2.766
621	1615441071.303	11.974	0.001	3.825
622	1615441087.112	14.282	0.003	3.127
623	1615441104.533	12.792	0.004	2.490
624	1615441119.828	13.120	0.001	2.350
625	1615441135.742	13.509	0.001	2.457
626	1615441151.718	12.140	0.001	2.358
627	1615441166.226	13.334	0.001	2.484
628	1615441182.051	16.615	0.001	2.208
629	1615441200.880	13.531	0.000	3.045
630	1615441217.464	12.657	0.001	2.417
631	1615441232.544	12.966	0.001	2.286
632	1615441247.810	15.266	0.001	2.250
633	1615441265.332	13.818	0.001	2.103
634	1615441281.257	13.130	0.001	2.173
635	1615441296.566	13.071	0.001	2.189
636	1615441311.831	12.618	0.000	2.233
637	1615441326.690	13.142	0.001	2.949
638	1615441342.787	12.454	0.001	2.384
639	1615441357.637	13.471	0.004	5.307
640	1615441376.429	16.099	0.004	2.219
641	1615441395.014	15.199	0.004	2.324
642	1615441412.557	13.968	0.001	2.256
643	1615441428.789	14.572	0.004	2.925
644	1615441446.308	15.116	0.001	2.244
645	1615441463.674	12.647	0.001	2.212
